日本語,英語,例文,,
地区,Area/district,この地区は治安が良い。無煙地区。火事で商業地区が全焼した。火災で商業地区を全焼した。,,
形式,A style,アレックスを教えるために、特別な訓練形式を用いた。ファイル形式（Ｆｉｌｅ　ｆｏｒｍａｔ）,,
片隅,A corner/nook,記憶の片隅に。その学校は、中・高一貫校だということを頭の片隅にでも入れておいてください。彼女はバスケットにかぶせてあるナプキンの片隅を満ちあげ、ちらっと僕に見せた。,,
従来「の」,Conventional (used up until now and still now),今までの」従来通りに「今までと同じように」近い将来、太陽エネルギーが従来のエネルギーにとって代わるかもしれない。従来の学説と矛盾する現象。,,
流通する,"To be in circulation, to circulate (money)",ドルは世界中に流通してる。,,
材料,Ingredients/materials,建築材料（Ｂｕｉｌｄｉｎｇ　ｍａｔｅｒｉａｌｓ）鉄は用途の広い材料である。プディングの主な材料は何ですか？料理の材料（Ｃｏｏｋｉｎｇ　ｉｎｇｒｅｄｉａｎｔｓ）,,
及び,And (business use),,,
観覧,Viewing,観覧席、観覧車、観覧者,,
商談する,"A business discussion, to have a business discussion",商談に入る前に、少し雑談でもしましょう。彼は不成功に終わった商談について意見を述べた。商談の第１回目は明日の朝１０時です。,,
月額、年額,A monthly/yearly amount,非常に高い収入を得るチャンスがあるビジネス、月額１００万円可能！彼のバイオリンの保険料は年額２００ドルだ。,,
動作する,"A movement, to move",（何かをしようとして、体を動かすこと、また、その時の体の動き」スズメは動作が非常にすばしこい。思ってることを動作で示す。機会が作動してること。,,
手真似、身振り、ジェスチャー,A motion/gesture,彼は静かにするよう身振りで指図した。,,
加速する,"Accleration, to accelerate",その政策は、インフレーションを加速させるだけだ。,,
蒸発する,"Evaporation, to evaporate",露は太陽が昇ると、蒸発した。お湯が沸騰して蒸発した。聞きましたわよ。ご両親は借金を残して蒸発したそうですね。,,
～の使用時（に）,When using,セールスフォースの使用時に,,
構築する,Construction (of a system or agreement etc),我々は他人との関係を構築し、維持していく。新運用フローの構築。,,
保管する,"Safekeeping, to safe keep",安全に保管するために。安全に保管されてる。家具を保管してもらう。お金は安全なところに保管しておきなさい。有価証券を銀行に（彼に）保管してもらう。,,
市外局番,Area code　(in a phone number),電話のArea code,,
郵便番号,Zipcode/postal code,,,
立食、ブッフェ、バイキング,Buffet,ランチブッフェを二人、お願いします。,,
現役で、現役の（医者、将軍）,"Without delay (exam etc.), to be on active duty (doctor/military etc.)",,,
奔放な（ほんぽう）,To be wild,たまに彼女の自由奔放な態度は無礼に見えることがある。日本人からは、アメリカ人は不安定で、自由奔放に見える。,,
向上する≪自≫,"Improvement, to improve",女性の社会的地位の向上。生活の質を向上させる。息子の数学の力は今年になって向上した。,,
早急な（さっきゅう・そうきゅう）,To be urgent,その仕事を早急にやってもらいたい。会合をできる限り早急に開催することを我々は要求する。,,
反復する・繰り返し、繰り返す,"Repetition, to repeat",外国語を学ぶ最も効果的な方法は反復です。,,
搭載する,"Installation, to install",その軍艦は核兵器を搭載してる。ミサイルを搭載した潜水艦の位置を突き止める。必要なものを装備する。,,
図形、図表,"A picture diagram, a diagram with text and pictures charts etc",,,
折り合う、妥協する・歩みあう・歩み寄り,"A compromise, to compromise",彼はなかなか折り合って譲歩しないので付き合いにくい人だ。長々と協議した末に、売り手と買い手は結局折り合った。,,
協議、討議,"A discussion, to discuss",専門医と協議中だ。彼は監督を協議中だ。どうしたらよいかと協議する。,,
序文,An intro/preface,序文で著者は次のように述べている。彼はその戯曲に素晴らしい序文を書いた。,,
買収する（ばいしゅう）～で買収される,"A buyout, to bribe",ＧＥはレイク株を３０００万ドルで買収したと公表した。どの人でも買収できるものだ。彼らは証人を買収しようとしたが駄目だった。彼女はあの政治家にオムツ一パックで買収された。,,
記録、記載,"A record, an entry",パスポートに名前が記載されている人は、言葉で述べられていた。,,
郵送する,"Mailing, to mail",計算書は四半期ごとに郵送されます。ホテルを選ぶのに役立つパンフレットを郵送していただけませんか？,,
銀色の・シルバー,To be silver,,,
品目,Items,品目ごとに（Ｉｔｅｍ　ｂｙ　ｉｔｅｍ）カタログの品目に番号をつける。これらの品目を入手がかなり困難だ。,,
入手する・手に入れる・手に入る,"Obtaining, to obtain",この品目は入手にかなり困難だ。本を入手する。情報を入手する。その本は容易に入手できる。あの本は最早入手できません。,,
見積もり、見積もる,A quote/to give a quote,製造費は予算の３６パーセントと見積もってる。破壊の結果、毎日５０種類もの野生の動植物が消滅してると見積もられている。特別な価格の見積もりです。実際にかかった費用は見積もりより高かった。,,
下見積もり,A rough quote,,,
実績,An achievement/result,ジャーナリストとしての彼の経歴は優れた実績でいっぱいだった。,,
苦情・不満・不平・文句・ぐちゃぐちゃ,A complaint,顧客からの苦情は業績悪化の始まりかもしれない。彼女はマネージャーにサービスが悪いと苦情を言った。住民たちは騒音に対して苦情を訴えた。,,
確定する,"Setting in stone, to set in stone",彼がアメリカに行くのは確定してる。月曜までに確定見積もりが必要です。,,
壊滅する・殲滅する（せんめつ）,"Annihilation, to annihilate",それは彼らの計画にとって壊滅的な打撃となった。この地域は壊滅的である。,,
総裁,A president,,,
気迫,Spirit/vigor,彼の演説は気迫にかけていた。競技者は気迫と自信に満ちてる。,,
純情な,Pure of heart,,,
富裕な（ふゆう）、裕福な（ゆうふく）,To be wealthy/rich,,,
美少年、美男子,A handsome young guy,,,
打ち抜く,To pierce through (after hitting),,,
撃ち抜く,To shoot off/out,,,
一から,From the beginning,また一からやりなしなさいと先生が言ってた。,,
一か八か,To be high stakes/to be all or nothing,,,
さまつな、さまつにする,"To be trivial, to make lightly of~",人の命をさまつにするな。,,
見習い,An apprentice,,,
無用な・不要な,Useless,,,
心配無用！,Fear not!,,,
他言無用,To keep something a secret,,,
桁、ガーダー,A figure/a steel girder,,,
緊急、緊急連絡先,An emergency contact,,,
弓、張り（ばり）,"A bow, a bowstring",,,
清浄な,To be clean/pure (physically),山中の空気は清浄,,
差し支える,"To hinder, to interfere",夜更かしすると翌日の仕事に差し支える。,,
口汚い（言葉）,To be foul mouthed (words),,,
息を大きくはく,To let out a big breath,,,
奇抜な,To be striking/eccentric,,,
在住する,"Dwelling, to dwell at~",私は大阪在住です。かと氏はパリに在住してて、家に残した家族を懐かしんでいる。,,
有効期限（までに）、期限切れになる,"An expiration date, to expire",,,
有効期間,Term of validity,,,
バタ足する,Flutter kicks/to thrash one's legs,,,
至って（いたって）,Very much,私はいたって健康で、風ひとつ引きません。大工が息子に鶏小屋を作ってやるのは至って簡単なことだ。,,
達者,To be in good health/skilled,祖父は８０を超えてるけど、足は至って達者だ。,,
脱出する,"Escape, to escape",,,
相対的に・割りと,Relatively,,,
といった～,Such~,,,
根源（こんげん）,A root/source,根元に同じ、事件などの始まるところ」,,
